MAURO TEÓFILO DE REZENDE-ME;720.603.103-06;;SERRALHERIA / ESQUADRIAS
GALLEON EST PRÉ MOLD. DE CONCRETO LTDA;04.414.217/0001-01;;SERRALHERIA / ESQUADRIAS
JOAO RICARDO B MONEDA ME;002296756/0001-55;;SERRALHERIA / ESQUADRIAS
OLIMPIO G KIMURA ME;004381713/0001-01;;SERRALHERIA / ESQUADRIAS
CASTELO ARTEFATOS DE MADEIRA LTDA.;01.989.477/0001-38;;GESSO /DIVISÓRIA / FORROS/ PISOS
GESSO CAMPEIRO COM. E SERV. LTDA-ME;07.710.257/0001-62;;GESSO /DIVISÓRIA / FORROS/ PISOS
PEDRO EGIDIO DO AMARAL - EPP;134.321.418-15;;GESSO /DIVISÓRIA / FORROS/ PISOS
COMERCIAL COSIMO CATALDO LTDA;07.679.873/0001-58;;GESSO /DIVISÓRIA / FORROS/ PISOS
JOAO RIBEIRO DIVISORIAS ME;93451800001;;GESSO /DIVISÓRIA / FORROS/ PISOS
COMERCIAL CONSTRUTORA E PINTURAS LTDA;67.731.904/0001-70;;EMPRESAS DE PINTURAS
LUIZ ANTONIO AGOSTINHO - ME;05.392.3706/0001-60;;EMPRESAS DE PINTURAS
FLAVIO GRIPA IMPERMEABILIZACAO;05.991.920/0001-02;;EMPRESAS DE PINTURAS
ART VIDROS & BOX;65.736.689/0001-36;;EMPRESSAS DE VIDRAÇARIA/MARMORARIA
CESAR DE MOURA ATHANASIO VIDRAÇARIA ME;070749454/0001-44;;EMPRESSAS DE VIDRAÇARIA/MARMORARIA
LINDOMAR ALVES DOS SANTOS CALHAS;3.573.494/0001.-91;;CALHAS COIFAS TELAS
ESCATERRA LTDA;59.731.935-90;;TRANSPORTES GUINDASTES TERRAPLENAGEM
SUMAQ TRATORES E PEÇAS LTDA;40.520.760/0001-19;;TRANSPORTES GUINDASTES TERRAPLENAGEM
TREVENZOLLI PAV. CONSTR. E COM. LTDA;45.998.128/0001-43;;TRANSPORTES GUINDASTES TERRAPLENAGEM
SILMAQ ALUGUEL DE MAQ. E EQIP.  AMERICANALTDA;05.486.691/0001-72;;TRANSPORTES GUINDASTES TERRAPLENAGEM
MUNCK  PEREIRA LTDA-ME;06.538.586/0001-90;;TRANSPORTES GUINDASTES TERRAPLENAGEM
MARCIO ANTONINI - ME;06.632.606/0001-63;;TRANSPORTES GUINDASTES TERRAPLENAGEM
AMG ALUGUEL DE MÁQUINAS EM GERAL;03.417.492/0001-3;;TRANSPORTES GUINDASTES TERRAPLENAGEM
HARDEE ELEVADORES LTDA05.418.451/0001-67;41.418.451./0001-67;;ELEVADORES
ELEVADORES OTIS LTDA;29.739.737/0001-50;;ELEVADORES
EMES COM E SERV ELÉTRICOS LTDA ME;06.681.219/0001-05;;DEDETIZAÇÃO/ DOMISSANITÁRIOS
MEI MONTAGENS ELETRICAS IND LTDA;45.543.172/0001-14;;DEDETIZAÇÃO/ DOMISSANITÁRIOS
STEMAC SA GRUPO GERADORES;92.753.268/0001-03;;DEDETIZAÇÃO/ DOMISSANITÁRIOS
VFR CONSTRUÇÕES E COMERCIO LTDA;56086828/0001-94;;DEDETIZAÇÃO/ DOMISSANITÁRIOS
SEMEQ SEV DE MONIT DE EQUIP LTDA;95505102/0001-38;;DEDETIZAÇÃO/ DOMISSANITÁRIOS
HECOSERVICE CONST E SANEAMENTO LTDA;06928948/0001-79;;DEDETIZAÇÃO/ DOMISSANITÁRIOS
IZABEL CRISTINA IUGAS MARQUES - EPP;04.551.238/0001-54;;OUTROS
HARLO DO BRASIL INDUSTRIA E COMERCIO;61.553.626/0001-58;;OUTROS
TSR COMERCIAL LTDA;011481634/0001-20;;OUTROS
METAL AÇOS BLINDAGEM E ESTRUTURAS METALICAS LTADA - ME;0630426/0001-74;;OUTROS
SANIPLAN ENGENHARIA E SERVIÇOS AMBIENTAIS LTDA;42168781/001-78;;OUTROS
GBVT ENGENHARIA E CONSTRUÇÕES LTDA;52.119.379/0001-32;;CONSTRUTORA
ELLI CONSTRUTORA LTDA;605809/00001-58;alexandre@elliconst.com.br,;CONSTRUTORA
FALCO TRAIDING COMERCIAL LTDA;68.324.087/0001-03;;EMPREITEIRAS
JOSE ARI PICCOLO;CEI: 21.096.25444/08;;FUNDAÇÕES,  ESTACAS, POÇOS, TOPOGRAFIA, ESTUDOS GEOLÓGICOS
P S SONDAGENS E MEIO AMBIENTE LTDA;07.804.013/001-62;;FUNDAÇÕES,  ESTACAS, POÇOS, TOPOGRAFIA, ESTUDOS GEOLÓGICOS
AGNALDO RIOS SANTIAGO-ME;10.316.359/0001-72;;EMPRESAS DE PINTURAS
NAANDAN JAIN BRASIL IND E COM DE EQUIPAMENTOS PARA IRRIGAÇÃO LTDA;60991965/0001-15;;ELÉTRICA-HIDRAULICA-TELEFONIA-REDES INF.
JOSE CAUM NETO COM DIVISORIAS;13358995/0001-09;;GESSO /DIVISÓRIA / FORROS/ PISOS
JOSE DINIZ RIBEIRO PINTURAS-ME;10.537.152/0001-81;;EMPRESAS DE PINTURAS
LIBRIAN COM. DE VIDROS E BOX LTDA.-ME;55.283.451/0001-75;;EMPRESSAS DE VIDRAÇARIA/MARMORARIA
DOIS IRMÃOS SERVIÇOS DE LOCAÇÃO LTDA - ME;05440129/0001-34;;TRANSPORTES GUINDASTES TERRAPLENAGEM
AGNALDO RIOS SANTIAGO;10313359/0001-72;;OUTROS
EAP SERV. DE PINT, CONSTR. CIVIL E LIMP. LTDA;075508690001/59;comercial@eapengenharia.com.br,;CONSTRUTORA
LD ENGENHARIA E SERVIÇOS LTDA - EPP;08886987/0001-03;;CONSTRUTORA
BR ASSESSORIA E CONSTRUÇOES LTDA;02826757/0001-64;carlito.goncalves@brconstrutoraeincorporadora.com,;EMPREITEIRAS
JL ENGENHARIA E FUNDAÇÕES LTDA;54.139.977/0001-13;;FUNDAÇÕES,  ESTACAS, POÇOS, TOPOGRAFIA, ESTUDOS GEOLÓGICOS
CF COM E SIST CONTRA INCENDIO LTDA;107248590001-05;;OUTROS
CONSTRUTORA INDAIÁ LTDA;00.764.173/0001-86;;CONSTRUTORA
CONSTRUTORA ZACARIAS LTDA;54.664.222/0001-38;c.zacarias@yahoo.com.br,;CONSTRUTORA
CONSTRUTORA MANO LTDA;54.666.557/0001-95;;CONSTRUTORA
CALLTEC CONSTRUTORA E COMÉRCIO LTDA;49.632.607/0001-83;;CONSTRUTORA
CONSTRUTORA BITENCOURT DAROCHA LTDA;01.482.190/0001-93;;CONSTRUTORA
CONSTRULAB CONSTR. E INSTALAÇÕES LTDA;63.971.352/0001-04;;CONSTRUTORA
LUXOR ENG. CONSTRUÇÃO E PAVIMENTAÇÃO LTDA;01.103.165/0001-51;;CONSTRUTORA
CPOS- CONPANHIA PAULISTA DE OBRAS E SERV. ;67.102.020/0001-44;;CONSTRUTORA
G.A.G. CONSTRUTORA LTDA;04.716.186/0001-30;;CONSTRUTORA
PLANER ENGENHARIA LTDA;61.980.538/0001-02;;CONSTRUTORA
NOVATECCON ENGENHARIA LTDA;44.231.454/0001-49;;CONSTRUTORA
S. MALUF ENGENHARIA E OBRAS LTDA;58.637.778/0001-96;;CONSTRUTORA
ENGEPEL ENG. E PROJETOS TÉCNICOS LTDA;06.195.584/0001-84;;CONSTRUTORA
PEMA ENGENHARIA LTDA;03.077.142/0001-45;;CONSTRUTORA
TERCNOART ENG. E CONS. DE PROJ.S/C LTDA;02.772.679/0001-62;;CONSTRUTORA
GUSMAN CONSTRUÇÕES E COMÉRCIO LTDA;55.423.099/0001-26;;CONSTRUTORA
SISTEMA ENG. E ARQITETURA LTDA;60.563.939/ 0001-96;;CONSTRUTORA
CONSTRULOG CONSTRUÇÕES E LOGÍSTICA LTDA;04.356.593/0001-84;;CONSTRUTORA
CONSTRUTORA FERNANDES MARTINS LTDA;48.838.403/0001-30;;CONSTRUTORA
ENGEVIL ENGENHARIA DE PROJ. CONSTRUÇÕES LTDA;47.377.239/0001-49;;CONSTRUTORA
PONZO ENGENHARIA E CONSTRUÇÃO LTDA;02.006.362/0001-15;;CONSTRUTORA
NEOFLAG SERVIÇOS DE ENGENHARIA LTDA;06.085.010/0001-53;;CONSTRUTORA
SILVA MELO ENGENHARIA E SANEAMENTO LTDA-EPP;07.024.882/0001-74;;CONSTRUTORA
CONSTRUTORA OHANA LTDA;05568046/0001/25;angela@ohana.com.br,;CONSTRUTORA
CONSTRUTORA ZANINI LTDA;03.827.115/0001-42;;CONSTRUTORA
EGM ENGENHARIA LTDA;01.944.358/0001-35;;CONSTRUTORA
ATL WISZNIEWIECKI;06.262.912/0001-18;;CONSTRUTORA
DIRETA ENGENHARIA LTDA;02.050.352/0001-87;;CONSTRUTORA
DIRETA CAMPINAS ENG E REPRESENTAÇÕES LTDA;02.050.352/0001-87;;CONSTRUTORA
AILTON MATOS J CONSTRUÇÕES ME;06200584/0001-25;;CONSTRUTORA
CMC CONSTR. E COM. DE MAT. P/ CONSTR. LTDA;05.641.889/0001-00;;CONSTRUTORA
CONSTRUBRÁS EMPREED CONST E COM LTDA;04876234/0001-58;;CONSTRUTORA
MB ENGENHARIA E MEIO AMBIENTE S/C LTDA;00.126.468/0001-27;;CONSTRUTORA
CAMPOS & FAUSTIN CONSTRUÇÕES LTDA;10329331/0001-23;;CONSTRUTORA
GP SETE LTDA;09442116/0001-55;;CONSTRUTORA
SPHERA ENGENHARIA LTDA;05.472.970/0001-03;;CONSTRUTORA
PATRIMON CONSTRUÇÕES E ENGENHARIA LTDA;06.101.519/0001-42;;CONSTRUTORA
ESTETO ENGENHARIA E COM LTDA;52220894/0001-29;;CONSTRUTORA
TECMAN MANUTENÇÃO PREDIAL LTDA-ME;04.397.623/0001-09;;CONSTRUTORA
CONSTRUTORA COMERCIAL TONE LTDA;60956646/0001-79;;CONSTRUTORA
2 N ENGENHARIA LTDA;00.346.953/0001-06;;CONSTRUTORA
MONTES AUREOS CONST E EMPR LTDA;62458476/0001-28;;CONSTRUTORA
ENIMED ENG. E INSTALAÇÃO HOSPITALAR LTDA;03.060.414/0001-02;;CONSTRUTORA
MULTIOBRAS COM CONST E INST LTDA;07761780/0001-31;;CONSTRUTORA
SAGAPE ENGENHARIA LTDA;05.971.392/0001-50;;CONSTRUTORA
GAB ENGENHARIA LTDA;57.760.126/0001-81;;CONSTRUTORA
PRIESS & GRAIA OBRAS E COM. DE M..CONSTR. LTDA;05.963.473/0001-08;;CONSTRUTORA
PAULIOBRAS CONSTRUÇÕES E COMÉRCIO LTDA;59.689.059/0001-81;;CONSTRUTORA
ENGEOBASE CAMPINAS COM. SERV. CONST. LTDA.;05.421.525/0001-14;;CONSTRUTORA
GEO BASE ENGENHARIA LTDA;00.664.361/0001-32;;CONSTRUTORA
VEDACAMP ENGENHARIA E CONSTRUÇÕES LTDA;53.953.444//0001-08;;CONSTRUTORA
PLANEMONT ENGENHARIA LTDA;96.296.983/0001-24;;CONSTRUTORA
KMA ENGENHARIA LTDA;05.784.601/0001-56;;CONSTRUTORA
PRIME ENGENHARIA E CONSTRUÇÕES LTDA;07.124.892/0001-81;;CONSTRUTORA
CONSTRUJATO CONSTRUÇÕES MODULARES LTDA;01.109.681/0001-93;;CONSTRUTORA
DAMIANI SOLUÇÕES ADMIINISTRATIVAS LTDA;03.618.474/0001-90;;CONSTRUTORA
MELO ENGENHARIA LTDA ME;01.139.253/0001-03;;CONSTRUTORA
UNICOM CONST E TEC CONSTRUTIVAS LTDA;01.139.253/0001-03;;CONSTRUTORA
SEMATEC CONSTR. E MANUTENÇÃO TÉCNICA LTDA;02.433.080/0001-02;;CONSTRUTORA
BRASIL BATISTELLA CONSTR. E INCORP. LTDA;51.420.677/0001-10;;CONSTRUTORA
ND ENGENHARIA E CONSTRUÇÃO LTDA;07.139.426/0001-70;;CONSTRUTORA
POLLO ENGENHARIA E CONSTRUÇÕES LTDA;66.088.105/0001-52;;CONSTRUTORA
PRISMA CONSTRUPOL CONSTRUTORA LTDA;54.670.013/0001-05;construpol@superig.com.br,;CONSTRUTORA
CONAG EMPREENDIMENTOS E CONSTRUÇÕES LTDA;04.783.242/0001-50;;CONSTRUTORA
PMO CONSTRUÇÕES;54.971.668/0001-05;;CONSTRUTORA
HOME CMS CONSTRUCT COM. E SERV. LTDA-ME;04.549.019/0001-42;;CONSTRUTORA
ÉTICA CONSTRUÇÕES E COMÉRCIO LTDA;57.495.327/0001-07;;CONSTRUTORA
REGIMAC TERRAPLANAGEM E CONSTRUÇÕES LTDA;00.451.841/0001-15;;CONSTRUTORA
CONSTRUNORTE ENG.COM. E CONSTR. LTDA;52.691.953/0001-47;;CONSTRUTORA
RIO VERDE ENGENHARIA E CONSTRUÇÕES LTDA;47.769.120/0001-11;;CONSTRUTORA
SEGETEC CONSTRUTORA LTDA;01.398.177/0001-50;;CONSTRUTORA
URBANA CONSTRUTORA E INCORPORADORA LTDA;02.508.674/0001-27;;CONSTRUTORA
MENALDO ALVES ENG. E  ASS. S/C LTDA;02.346.059/0001-61;;CONSTRUTORA
FRANZO CONSTRUTORA  EPLANEJAMENTO LTDA;05.633.207/0001-17;;CONSTRUTORA
CONSTRUTORA CRONACON   LTDA;63.972.277-0001-04;;CONSTRUTORA
IBEC ENGENHARIA LTDA;04.556.242/0001-17;;CONSTRUTORA
EXATA CONSTRUTORA E TERRAPLENAGEM LTDA;07.935.047/0001-96;;CONSTRUTORA
BASE M ENGENHARIA LTDA;05.334.821/0001-88;;CONSTRUTORA
COXPORT ENGENHARIA E COMÉRCIO LTDA;44.558.591/0001-92;;CONSTRUTORA
FFN CONSTRUÇÕES E COM. LTDA;05.568.046/0001-25;;CONSTRUTORA
TELETUBBIES CONTRUÇÕES CIVIS LTDA;08.662.476/0001-08;;CONSTRUTORA
TECNOART ENGENHARIA E CONSULTORIA;;;CONSTRUTORA
ARTECO CONSTRUÇÕES E INCORPORAÇÕES;;;CONSTRUTORA
M & S CONSTRUTORA LTDA;06.866.807/0001-98;;CONSTRUTORA
MHS ENGENHARIA CONSULTORIA LTDA;54.526.934/0001-90;;CONSTRUTORA
R & R SONDAGENS LTDA;08.215.276/0001-07;;CONSTRUTORA
MAURO PEDRO DA SILVA & CIA LTDA;08.260.414/0001-61;;CONSTRUTORA
ENGESTRAUSS ENGENHARIA E FUNDAÇÕES LTDA;64.632.003/0001-20;;CONSTRUTORA
SANTA PAULINA ENGENHARIA LTDA;38.923.967/0001-18;;CONSTRUTORA
JATH CONTRUÇÕES LTDA;01.479.464/0001-95;;CONSTRUTORA
JOSÉ EDINIZ RIBEIRO & CIA LTDA;03.177.810-0001-06;;CONSTRUTORA
DISK PORTAS LTDA - ME;64.052.434/0001-18;;CONSTRUTORA
MASTER PLATE PISOS - LTDA EPP;08.883.714/0001-05;;CONSTRUTORA
M & G EMPREENDIMENTOS LTDA;02.632.324/0001-78;;CONSTRUTORA
PLANEJAR SERVIÇOS E COMÉRCIO LTDA;07.032.566/0001-44;;CONSTRUTORA
ANDERSON JOSÉ DA SILVA CONSTRUÇÃO - ME;08.418.935/0001-02;;CONSTRUTORA
CONSTRUSAN COMERCIAL E CONSTRUTORA LTDA.;66.104.134/0001-60;;CONSTRUTORA
ANDROMEDA ENGENHARIA LTDA;05.578.285/0001-66;;CONSTRUTORA
MULTIASTRA IMPERMEABILIZAÇÕES E CONSTRUÇÕES LTDA - EPP                     ;03.830.609/0001-86;;CONSTRUTORA
GALVANI ENGENHARIA E COMERCIO LTDA;44.632.347/0001-22;;CONSTRUTORA
VALMO COMÉRCIO E CONTRUÇÕES LTDA;59.237.859/0001-61;;CONSTRUTORA
MORAES & PERA PROJETOS E SERVIÇOS LTDA EPP;05.599.319/0001-07;;CONSTRUTORA
AMPLA - ENGENHARIA E CONSTRUÇÃO DE OBRAS PREDIAIS E VIÁRIAS LTDA;08.684.913/0001-86;;CONSTRUTORA
BUENOS COMERCIO E CONSTRUÇÕES LTDA;02.993.621/0001-49;;CONSTRUTORA
MIMKY PROJETOS E OBRAS S/C LTDA;05.312.794/0001-42;;CONSTRUTORA
POLICAN ENGENHARIA E IMPERMEABILIZAÇÕES LTDA;04.954.452/0001-63;;CONSTRUTORA
POSSATO CONSTRUÇÕES E COMÉRCIO LTDA;52.541.877/0001-93;;CONSTRUTORA
WS NEVES RESTAURAÇÃO EM EDIFICAÇÕES LTDA;06.885.154/0001-94;;CONSTRUTORA
MENSURA ENGENHARIA LTDA;02.720.276/0001-70;;CONSTRUTORA
ENGESOLOS - ENGENHARIA DE SOLOS E FUNDAÇÕES LTDA     ;;;CONSTRUTORA
ZANETTINI ARQUITETURA E PLANEJ E CONSULTORIA;44.152.742/0001-08;;CONSTRUTORA
DELLASTA ENGENHARIA LTDA;00.219.256/0001-94;;CONSTRUTORA
MGD - ENGENHARIA, CONSULTORIA E TREINAMENTO LTDA ;69.129.815/0001-71;;CONSTRUTORA
CAPITAL HUMANO OBRAS E SERVIÇOS LTDA;04.004.209/0001-84;;CONSTRUTORA
MATSUDA ENGENHARIA E CONSTRUÇÕES LTDA EPP;74.473.984/0001-64;;CONSTRUTORA
TEP TECNOLOGIA EM PROJETOS DE ENGENHARIA LTDA;02.905.709/0001-61;;CONSTRUTORA
CONSPORT CONSTRUTORA INCORPORADORA E SERVICOS LTDA;50.585.165/0001-40;;CONSTRUTORA
JULIO CESAR MURARI - ME;09.356.181/0001-68;;CONSTRUTORA
VESTA ENGENHARIA LTDA;08.883.123/0001-20;;CONSTRUTORA
PROJETUAL PROJETOS E OBRAS LTDA;06.087.857/0001-77;;CONSTRUTORA
WALTENCIR RIBEIRO DE OLIVEIRA;21.831.276/0001-91;;CONSTRUTORA
VITOR PACHECO DOS SANTOS;59.018.648/0001-38;;CONSTRUTORA
ENGHP CONSTRUCAO DE IMOVEIS E COMERCIO DE MATERIAIS PARA CONSTRUÇÃO LTDA;06.155.886/0001-29;;CONSTRUTORA
PAV - TERRA PAVIMENTACAO E CONSTRUCAO LTDA - ME;02.611.854/0001-30;;CONSTRUTORA
AROLDO THILSON GOBBO ME;09.104.644/0001-02;;CONSTRUTORA
EQUIP.-MONTAGEM TECNICAS E COMERCIO;74.279.837/0001-58;;CONSTRUTORA
E.W.F. EMPREITEIRA & CONSTRUÇÕES LTDA;04.642.030/0001-52;;CONSTRUTORA
AMERICA PERFURACOES E CORTES EM CONCRETO LTDA;06.911.435/0001-74;;CONSTRUTORA
MW2-SERVICOS LTDA - ME;05.334.372/0001-78;;CONSTRUTORA
HORTA ENGENHARIA LTDA;56.526.593/0001-89;;CONSTRUTORA
PL TECNICA DE CONSTRUCAO S/C LTDA ME;57.520.413/0001-14;;CONSTRUTORA
ANDRE LUIS COSTA PIRACICABA - ME;03.916.766/0001-09;;CONSTRUTORA
MICHEL FERREIRA ROSA;;;CONSTRUTORA
PLENA TECNOLOGIA EM SERVICOS LTDA;05.955.989/0001-00;;CONSTRUTORA
CR3 CONSTRUTORA E COMERCIO DE MÓVEIS LTDA;07.751.401/0001-22;;CONSTRUTORA
CONSTRUTORA PEZATTI LTDA;;;CONSTRUTORA
JAIME BARBOSA - CONSTRUCOES CIVIL LTDA;03.680.939/0001-32;;CONSTRUTORA
TOP-TEC ENGENHARIA E AGRIMENSURA LIMITADA;62.131.065/0001-23;;CONSTRUTORA
VILA BOA;;;CONSTRUTORA
CONSTRUTORA PAULISTANA DE SERVICOS E OBRAS LTDA;06.877.572/0001-30;;CONSTRUTORA
DELAIR CARLOS DE PAULA ME;09.041.664/0001-73;;CONSTRUTORA
CONSTRUTORA W. CURI LTDA;;;CONSTRUTORA
JASMINOL A. DE PÁDUA CHAVES;08.402.671/0001-90;;CONSTRUTORA
SHELTER - ENGENHARIA;04.441.348/0001-75;;CONSTRUTORA
DUCTBUSTERS ENGENHARIA LTDA;03.541.616/0001-68;;CONSTRUTORA
VIAL ENGENHARIA E CONSTRUTORA LTDA ;55.381.313/0001-29;;CONSTRUTORA
ITEXPERTS CONSULTORIA  E COMÉRCIO;05.069.245/0001-99;;CONSTRUTORA
METTA CONST E IMPERMEABILIZAÇÕES LTDA;61.656.344/0001-48;;CONSTRUTORA
RECUPERE ENG E SERV LTDA;56.979.305/0001-41;;CONSTRUTORA
TRAFFOS CONSULT E ASSESS EM GESTÃO EMPRESARIAL LTDA;07.787.604/0001-79;;CONSTRUTORA
S HAPPEL - CONSTRUTORA DE OBRAS LTDA;07.859.634/0001-43;;CONSTRUTORA
CBR ENGENHARIA S/S LTD;03.581.297/0001-14;;CONSTRUTORA
GETOP ENGENHARIA LTDA;06.053.628/0001-31;;CONSTRUTORA
PILAR ENGENHARIA E CONST LTDA;69.308.690/0001-47;;CONSTRUTORA
IMPERNELL ENGENHARIA E COMERCIO LTDA;59.321.125/0001-66;;CONSTRUTORA
CONCRE-TEST CONTROLE TECNOLOGICO;51.874.105/0001-00;;CONSTRUTORA
MELO SOARES & MELO SOARES LTD -ME;10.278.097/0001-52;;CONSTRUTORA
AUREA CONSTRUTORA E ENGENHARIA;08.774.066/0001-40;;CONSTRUTORA
RECOMA CONSTRUÇÕES, COM.E INDUSTRIA ;51.212.348/0001-83;;CONSTRUTORA
RCA PRODUTOS E SERVIÇOS LTDA;69.207.850/0001-61;;CONSTRUTORA
CONSTRUTORA MANARA LTDA;04.838.285/0001-95;;CONSTRUTORA
M.C.BOTION CONSTRUTORA LTDA;58.312.455/0001-22;;CONSTRUTORA
E.G. BARRETO & CIA LTDA;44.216.844/0001-40;;CONSTRUTORA
ARV CONSTRUÇÕES LTDA EPP;07.201.752/0001-60;;CONSTRUTORA
ENGEP ENG E PAVIMENTAÇÃO LTDA;52.577.707/0001-69;;CONSTRUTORA
AMPLA INFRA ESTRUTURA E CONSTRUÇÕES LTDA;04.246.346/0001-25;;CONSTRUTORA
CONSTRUTORA MOLLINARI LTDA;05.946.179/0001-98;;CONSTRUTORA
CONSTRUSENNA PRESTADORA DE SERV LTDA;10.226.845/0001-53;construsenna@yahoo.com.br,;CONSTRUTORA
MINAS CONSTRUTORA LTDA;52.158.284/0001-42;;CONSTRUTORA
LEMA ENGENHARIA CIVIL LTDA;05.747.691/0001-05;;CONSTRUTORA
SOCIEDADE LIMEIRENSE DE MAT P CONST LTDA;51.463.941/0001-00;;CONSTRUTORA
